Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Payment_Mode,Status,Channel
f0fd4732-1034-4c84-a1f0-865c0369936b,ec0383fc-d8ac-45d6-9bb9-c0e24d19eb91,8/31/2023,Purchase,UPI,Failed,Online
8b26f622-b1b3-49ab-b7de-48f333112589,88eaa5a3-ccd4-4a14-b463-86ea55535b4f,4/9/2020,Purchase,Net Banking,Success,Online
e537c310-d7cb-489a-bb8a-05f305198ed7,26c08fb0-4db1-44a0-8589-b9c6ea2c027f,8/11/2021,Refund,Debit Card,Success,In-Store
21426a16-1ba5-4f60-87c3-45b559acff46,a55c84de-0449-44d5-b2df-1404c332f3b9,11/24/2021,Refund,Credit Card,Pending,In-Store
5a7d13e9-301c-4502-b8c8-e7418b8d4f7d,4d647cd4-df3c-4dc6-b265-58a53ee5f9f4,2/21/2021,Refund,Wallet,Pending,In-Store
16187954-a785-46c5-a6f3-3734ef8fa76d,2ed47eb7-8b4b-4594-a04d-e1a63197da2e,10/12/2022,Purchase,Credit Card,Success,Online
80512d8b-75ab-495d-85a5-e8055af70c87,a86a6c99-e9b5-471a-9aad-4c6d9566bbf6,1/10/2025,Refund,Wallet,Success,In-Store
c927865b-282c-4d3f-b5d7-a99fdb589138,ae9a2e9b-a4ef-4f88-9f3d-d064099e3f1f,4/24/2020,Purchase,UPI,Success,In-Store
23561a11-1744-4b77-a56c-ca401ac3ec1d,3e869b9d-4eaa-4f91-a926-f393189ce4c3,10/1/2023,Purchase,Net Banking,Success,In-Store
d1aeeac7-0618-4511-b8b3-b4e5e2e7bb90,022c388f-4723-4494-a4bb-c7bd092568cd,5/1/2020,Purchase,Wallet,Failed,In-Store
ca54562a-2353-40d8-af6d-a67885c988fd,b3adfccf-d62a-4a01-b1ff-72714d9092c6,12/3/2022,Refund,Credit Card,Pending,In-Store
12e0cbaa-c79f-4d94-9e93-db3b6dc52dd5,3cad60f9-7b72-450d-b058-b40c9fce4366,10/20/2023,Purchase,Net Banking,Success,In-Store
7c6e5b0c-147e-49d6-a58c-1fb83264107b,a3d7bbfd-04e9-41ae-96e6-7b459ec5f3b8,11/3/2024,Purchase,Credit Card,Pending,In-Store
1c093c46-4f1f-4fc1-928e-260234fc6f8d,bfea718a-110a-471a-8e24-58d7651698da,10/18/2021,Refund,Credit Card,Pending,In-Store
c29cd741-1994-42f6-a08c-03c824c05c2f,3386e934-307b-4e84-97bf-b068e1fe83d7,9/14/2023,Refund,Debit Card,Failed,Online
4a62e7b0-9dfe-4049-9bf2-09e9555d4c29,712869c2-613f-429a-a234-dc5103d2881d,4/27/2021,Purchase,Debit Card,Success,In-Store
646d96f9-98b9-47cc-8e68-32e393a0a302,f6322b12-d548-40b3-9862-b6c8daa737c5,3/8/2021,Refund,Wallet,Success,In-Store
26ca6805-25d1-48d6-96b6-09af37f64c8b,f92891d9-d183-4d34-9551-9020fba370c5,9/14/2020,Refund,Wallet,Success,Online
e8d5d444-d8bd-40a6-914c-75c18468356e,67326fe5-a96d-4e22-9793-631cb6f6fe9c,10/14/2023,Refund,Wallet,Success,Online
ebded7ac-3ed8-47a9-a283-a9cceecec39b,93ac6eda-9f95-4b02-a24d-0549709a492d2,11/1/2022,Purchase,Wallet,Success,In-Store
c5697578-5670-4fa8-a39b-07e45bfc8e79,93ac6eda-9f95-4b02-a24d-0549709a492d,10/13/2021,Refund,Net Banking,Failed,Online
54f9c6c1-d293-40eb-9290-28ce53277d31,2174e5ad-e5ed-4a1d-a797-c9003c92d775,5/7/2021,Purchase,Wallet,Failed,Online
e5e4c5de-fa23-4d24-8d61-4a6185cb3963,85abb968-c34d-4bb9-b5e6-f7ffeac0eb58,5/7/2021,Refund,Debit Card,Success,In-Store
e5bf0ddb-cc06-4569-83bc-b937b999f616,8b66d5eb-caf7-4d55-be7b-794e34094ed2,11/15/2023,Purchase,Wallet,Failed,Online
5f717327-4733-4f83-8cd8-4d95034ad5a2,a30b0218-c522-4559-adcb-728f83b913f1,1/6/2025,Purchase,Credit Card,Success,Online
0aa1fd6f-91d6-4822-a19c-cfbe853ef548,cdccbe82-4e82-4868-ba3f-4fc84b6ad4aa,7/13/2021,Refund,Net Banking,Failed,Online
10ea923d-2739-407d-93d5-d13804825a66,0a5eb05b-c4eb-4179-81ad-cfa291378521,1/29/2020,Refund,Net Banking,Pending,Online
b3754a19-d67b-4e1f-9536-48190fcf12e9,18845896-b5f5-40e2-9e4f-9bdf1b4ca3f5,8/27/2023,Purchase,Debit Card,Pending,Online
4021cce3-ac98-4f52-bdc6-f1fb7c967ef5,f2252553-0e47-40be-8be5-68d5305fdcd4,8/15/2022,Refund,UPI,Failed,Online
fb3b7058-0ce7-48f1-8357-bb24c44f23b7,2bd563a6-f896-433a-8606-f9322a0becfe,9/27/2020,Refund,UPI,Pending,Online
e3670363-449b-4a1a-bde4-f5e6323453d5,b32a02a4-39a5-4b51-93e5-939767baa77a,6/30/2020,Purchase,Wallet,Success,Online
a9d09fa2-c7fa-4d3e-8976-56df66d211bb,279b0326-8429-4382-86f7-3e63c002ce9e,1/30/2020,Purchase,UPI,Success,Online
c140a6cd-1614-4407-9a25-a9bc0cd5117c,78c85ff8-46a1-4415-a570-cd8a7c5f983b,5/17/2023,Refund,UPI,Failed,In-Store
253e7e39-9a30-4769-8ce2-7677a187ed5b,a040effd-8555-4386-b7ba-2605d78e26ce,12/20/2023,Refund,Credit Card,Pending,Online
b4a6d3ab-670a-41c0-a7ce-bd4328744402,bf903836-d212-4efc-ac70-a7e0ad1250ba,5/31/2023,Purchase,Net Banking,Pending,In-Store
36d510b0-26cd-4558-9bde-0eb2cb6b296b,be146aab-f28d-4b8f-8d0f-a06c47bde6eb,7/14/2024,Refund,Debit Card,Pending,In-Store
ec813c31-ba3a-4d48-b3c3-b8b584cbb411,55bd856a-7063-4029-8894-34b88abd7dee,9/3/2022,Purchase,Wallet,Pending,Online
5a4e0f87-3437-4c36-8313-d8b210b6c97d,0155e4b8-2cca-429e-81b0-16f87feda9b8,11/29/2023,Purchase,Wallet,Success,In-Store
8297b9e4-284b-430b-b032-b995b6d0e2c9,5cc1fc84-e33b-4455-b6f7-5c110bdeb4d8,3/9/2023,Refund,Wallet,Pending,In-Store
aa300707-456c-4da2-a309-89e100cfda00,42f8971c-554d-415c-af75-5b1c214b88ba,2/10/2020,Refund,UPI,Success,Online
6caf7baf-8b1b-4efd-b256-b065622038c0,3346bd8d-822b-4fb6-93ba-f922360f050a,2/26/2021,Refund,Wallet,Success,Online
d83730e7-f402-4952-9046-348f890c036d,901e83c5-e243-43c6-83fe-18372a568692,9/3/2021,Purchase,Wallet,Pending,Online
b21ab477-0966-490b-bcab-182a102c138e,1ba7c4ac-dbca-471d-b2d1-8cb3beaf3a25,6/13/2022,Refund,Debit Card,Pending,In-Store
3a4bf6d9-8447-4bff-ad81-2bdbf284d781,977153d1-b80e-4f8c-b4af-01375b4a722a,11/9/2021,Refund,Wallet,Pending,In-Store
a38660d0-bccc-4868-bbd6-fb20be645d7a,480dd8d9-0a6c-43b6-9a52-36700f322ed2,4/7/2025,Purchase,Credit Card,Failed,In-Store
08cc63ac-db40-43ab-8e0a-eafd88dae3bc,10f57980-afa7-4c0b-bc46-07ba4d81d26d,7/3/2023,Purchase,Debit Card,Pending,In-Store
72c5da6f-f64e-456e-bd01-471d991a8cec,a2707d13-c97c-4369-bca9-45b0377fad2f,10/8/2024,Refund,Wallet,Success,In-Store
24b6cfbe-7fbe-401f-a76d-3f206f6d1868,8d03949b-5827-4741-bfb3-def447b36bec,3/13/2020,Purchase,Wallet,Failed,In-Store
68879f56-09e3-49d3-895a-268882b56c33,fa2ee276-9133-4dd3-ac68-77b2c8c32e69,8/20/2020,Refund,Credit Card,Success,In-Store
7d6061b2-092a-4274-828e-2304465950d9,c2d16a95-f5ea-4fbb-b4f9-5021c69c2dea,9/5/2022,Refund,Wallet,Failed,In-Store
0b535cd0-9f1e-436b-9e13-f0c0b31b3838,d7c8a026-488f-42b9-8deb-efcf87038ad6,6/10/2022,Purchase,Net Banking,Pending,In-Store
