Sale_ID,Customer_ID,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Sale_Date
SALE000001,CUST0001,P005,Blender,Home Appliance,3,294.3,0.24,2/19/2025
SALE000002,CUST0002,P004,T-shirt,Apparel,4,424.8,0,2/14/2025
SALE000003,CUST0003,P003,Notebook,Stationery,3,106.29,0.06,11/5/2024
SALE000004,CUST0004,P001,Smartphone,Electronics,4,108.4,0.2,11/16/2023
SALE000005,CUST0005,P005,Blender,Home Appliance,4,300.57,0.11,5/19/2023
SALE000006,CUST0006,P001,Smartphone,Electronics,3,475.87,0.29,6/8/2023
SALE000007,CUST0007,P003,Notebook,Stationery,2,236.75,0.2,3/10/2025
SALE000008,CUST0008,P002,Shoes,Footwear,4,197.12,0.29,9/12/2024
SALE000009,CUST0009,P001,Smartphone,Electronics,3,323.01,0.06,7/7/2023
SALE000010,CUST0010,P003,Notebook,Stationery,1,468.7,0.26,5/14/2023
SALE000011,CUST0011,P002,Shoes,Footwear,3,426.62,0.1,10/22/2023
SALE000012,CUST0012,P005,Blender,Home Appliance,1,497.97,0.3,5/7/2024
SALE000013,CUST0013,P003,Notebook,Stationery,4,60.16,0.05,12/23/2024
SALE000014,CUST0014,P003,Notebook,Stationery,3,100.79,0.15,5/24/2024
SALE000015,CUST0015,P001,Smartphone,Electronics,3,324.26,0.24,3/2/2024
SALE000016,CUST0016,P003,Notebook,Stationery,1,419.26,0.13,4/12/2025
SALE000017,CUST0017,P004,T-shirt,Apparel,3,178.36,0.14,10/15/2023
SALE000018,CUST0018,P002,Shoes,Footwear,3,157.64,0.3,9/14/2023
SALE000019,CUST0019,P001,Smartphone,Electronics,4,404.14,0.13,10/18/2023
SALE000020,CUST0020,P004,T-shirt,Apparel,3,75.37,0.18,2/2/2024
SALE000021,CUST0021,P004,T-shirt,Apparel,2,216.22,0.02,5/16/2023
SALE000022,CUST0022,P003,Notebook,Stationery,1,277.61,0.25,4/29/2024
SALE000023,CUST0023,P002,Shoes,Footwear,3,302.16,0.19,6/28/2023
SALE000024,CUST0024,P003,Notebook,Stationery,1,377.88,0.12,3/12/2024
SALE000025,CUST0025,P005,Blender,Home Appliance,1,209.68,0,6/14/2023
SALE000026,CUST0026,P002,Shoes,Footwear,1,325.71,0.18,6/27/2023
SALE000027,CUST0027,P005,Blender,Home Appliance,3,313.42,0,6/23/2023
SALE000028,CUST0028,P003,Notebook,Stationery,3,296.43,0,12/15/2023
SALE000029,CUST0029,P001,Smartphone,Electronics,1,338.22,0.18,9/21/2023
SALE000030,CUST0030,P004,T-shirt,Apparel,2,166.75,0.06,2/12/2024
SALE000031,CUST0031,P004,T-shirt,Apparel,1,88.09,0.06,7/21/2023
SALE000032,CUST0032,P004,T-shirt,Apparel,2,103.67,0.2,8/29/2024
SALE000033,CUST0033,P003,Notebook,Stationery,1,151.06,0.02,12/2/2024
SALE000034,CUST0034,P001,Smartphone,Electronics,4,275.09,0.09,12/1/2024
SALE000035,CUST0035,P004,T-shirt,Apparel,1,428.2,0.04,11/11/2024
SALE000036,CUST0036,P005,Blender,Home Appliance,1,365.58,0.17,3/31/2025
SALE000037,CUST0037,P005,Blender,Home Appliance,3,405.07,0.2,7/18/2023
SALE000038,CUST0038,P004,T-shirt,Apparel,2,207.94,0.22,1/9/2024
SALE000039,CUST0039,P005,Blender,Home Appliance,4,232.09,0.08,10/16/2023
SALE000040,CUST0040,P005,Blender,Home Appliance,2,227.16,0.03,8/22/2023
SALE000041,CUST0041,P003,Notebook,Stationery,4,136.34,0.02,6/4/2024
SALE000042,CUST0042,P005,Blender,Home Appliance,1,77.55,0.13,11/21/2024
SALE000043,CUST0043,P003,Notebook,Stationery,3,315.91,0.28,7/23/2024
SALE000044,CUST0044,P004,T-shirt,Apparel,3,495.15,0.07,8/16/2023
SALE000045,CUST0045,P003,Notebook,Stationery,2,125.07,0.08,7/5/2024
SALE000046,CUST0046,P005,Blender,Home Appliance,3,71.01,0.03,8/15/2023
SALE000047,CUST0047,P001,Smartphone,Electronics,2,400.79,0.18,9/8/2023
