Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Payment_Mode,Status,Channel,Merchant_ID
TXN000001,CUST0001,7/26/2024,Purchase,380.79,UPI,Success,In-store,M147
TXN000002,CUST0002,2/20/2024,Purchase,951.21,UPI,Failed,Online,M684
TXN000003,CUST0003,9/4/2023,Purchase,734.67,Cash,Success,Online,M971
TXN000004,CUST0004,10/27/2023,Purchase,602.67,UPI,Success,Online,M384
TXN000005,CUST0005,3/19/2024,Purchase,164.46,Credit Card,Success,Online,M856
TXN000006,CUST0006,8/24/2024,Purchase,164.43,UPI,Success,Online,M134
TXN000007,CUST0007,4/9/2025,Purchase,67.5,UPI,Success,In-store,M915
TXN000008,CUST0008,1/15/2025,Purchase,867.51,Cash,Success,Online,M518
TXN000009,CUST0009,11/19/2023,Refund,605.1,Cash,Success,In-store,M481
TXN000010,CUST0010,1/25/2024,Purchase,710.99,Credit Card,Success,Online,M507
TXN000011,CUST0011,5/4/2024,Purchase,30.38,Cash,Success,Online,M465
TXN000012,CUST0012,12/19/2024,Purchase,970.21,UPI,Success,Online,M843
TXN000013,CUST0013,9/15/2023,Purchase,834.12,Debit Card,Success,Online,M618
TXN000014,CUST0014,1/15/2025,Purchase,220.22,Credit Card,Success,Online,M253
TXN000015,CUST0015,4/26/2023,Purchase,190.01,Credit Card,Success,In-store,M347
TXN000016,CUST0016,1/6/2025,Refund,191.57,Cash,Success,Online,M862
TXN000017,CUST0017,4/10/2024,Purchase,311.2,Cash,Success,Online,M397
TXN000018,CUST0018,3/15/2025,Purchase,529.51,Debit Card,Success,Online,M839
TXN000019,CUST0019,4/7/2025,Purchase,437.63,Debit Card,Success,Online,M369
TXN000020,CUST0020,11/15/2023,Purchase,298.32,UPI,Failed,In-store,M451
TXN000021,CUST0021,7/30/2023,Purchase,615.73,UPI,Success,Online,M350
TXN000022,CUST0022,2/22/2024,Purchase,148.1,Credit Card,Success,Online,M637
TXN000023,CUST0023,6/22/2024,Purchase,299.22,Credit Card,Success,In-store,M919
TXN000024,CUST0024,2/15/2024,Purchase,372.7,UPI,Success,In-store,M441
TXN000025,CUST0025,6/6/2023,Purchase,461.51,UPI,Success,In-store,M770
TXN000026,CUST0026,1/25/2025,Purchase,787.32,Cash,Success,Online,M772
TXN000027,CUST0027,2/8/2025,Purchase,207.68,UPI,Success,Online,M532
TXN000028,CUST0028,8/5/2024,Purchase,519.09,Cash,Success,Online,M474
TXN000029,CUST0029,3/31/2025,Purchase,596.49,Cash,Success,In-store,M351
TXN000030,CUST0030,8/23/2024,Purchase,55.99,Cash,Success,Online,M450
TXN000031,CUST0031,4/14/2025,Purchase,611.47,Credit Card,Success,Online,M284
TXN000032,CUST0032,4/20/2024,Purchase,178.82,UPI,Success,In-store,M305
TXN000033,CUST0033,5/3/2024,Purchase,74.4,Cash,Success,Online,M985
